smiles,pka_values
Cc1ccc(S)c(S)c1,"5.34, 11.0"
Cc1ccc(cc1)[S](=O)(=O)NCCN(CC(O)=O)CC(O)=O,"2.15, 7.86"
C[C@H](N)C(=O)N[C@H](Cc1ccccc1)C(O)=O,"2.99, 8.13"
C[C@H](N)C(O)=O,"2.33, 9.71"
CC(C(O)=O)C(O)=O,"2.87, 5.38"
CC(C)(C(O)=O)C(O)=O,"2.97, 5.73"
CC(=O)NCCN(CC(O)=O)CC(O)=O,"1.9, 8.17"
CC(=O)N[C@@H](C(O)=O)C(C)(C)S,"3.29, 10.1"
CC(=O)N[C@@H](CC(O)=O)C(O)=O,"3.04, 4.49"
CC(=O)N[C@@H](CCC(O)=O)C(O)=O,"3.29, 4.6"
CC(=O)N[C@@H](CS)C(O)=O,"3.11, 9.58"
CC(=O)N[C@@H](Cc1c[nH]cn1)C(O)=O,"2.84, 7.02"
CC(=O)NCC(=O)NCC(=O)NCC(=O)N[C@@H](Cc1c[nH]cn1)C(O)=O,"3.04, 7.09"
CC(=O)NCC(=O)NCC(=O)N[C@@H](Cc1c[nH]cn1)C(O)=O,"2.96, 7.06"
OC(=O)CCSCC(O)=O,"3.27, 4.34"
OC(=O)CCSCCC(O)=O,"3.925, 4.7"
OC(=O)CC[Se]CCC(O)=O,"3.94, 4.7"
OC(=O)CC[Te]CCC(O)=O,"3.92, 4.77"
OC(=O)CCc1c[nH]cn1,"3.83, 7.44"
OC(=O)CC(O)=O,"2.665, 5.33"
OC(=O)CN(CC(O)=O)c1ccc(c2ccccc12)[S](O)(=O)=O,"2.76, 3.92"
CCCCO[P]([O-])(=O)O[P](O)(O)=O,"1.3, 6.65"
Oc1ccc(c2cccnc12)[S](O)(=O)=O,"3.9, 8.37"
Oc1c(Br)cc(Br)c2cccnc12,"2.6, 7.3"
Oc1c(I)cc(I)c2cccnc12,"2.7, 8.0"
Oc1c(cc(c2cccnc12)[S](O)(=O)=O)N=O,"1.81, 5.52"
Oc1c(cc(c2cccnc12)[S](O)(=O)=O)[N+]([O-])=O,"1.72, 5.34"
CC(C)(N)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(O)=O,"3.8, 7.78"
c1cc(ccn1)C=Cc2ccncc2,"4.41, 5.65"
c1ccc(C=Cc2ccccn2)nc1,"2.81, 4.95"
[O-][NH+]1CCCNCCNC(=O)C(CCc2ccccn2)C(=O)NCC1,"5.22, 9.33"
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(O)=O,"3.13, 7.82"
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(O)=O,"3.26, 7.94"
C1CNCCNCCC(NCCNC1)c2ccccc2,"10.06, 10.7"
CC(=C/C(O)=O)/C(O)=O,"2.2, 5.6"
C[C@H](NC(=O)CN)C(=O)NCC(O)=O,"3.34, 7.96"
CC(=O)CN(CC(O)=O)CC(O)=O,"2.62, 7.71"
C1CNCCCNC1,"7.07, 10.65"
C[C@H](N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(O)=O,"3.31, 8.28"
C[C@H](N)C(=O)NC(C)(C)C(O)=O,"3.49, 8.22"
C[C@H](N)C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(O)=O,"3.38, 7.86"
C[C@H](N)C(=O)NCC(=O)NCC(=O)NCC(O)=O,"3.18, 7.85"
Cn1cncc1CC(NC(=O)CCN)C(O)=O,"7.03, 9.33"
C[C@H](N)C(=O)NCC(O)=O,"3.13, 8.11"
C[C@H](N)C(=O)NO,"7.26, 9.15"
C[C@H](N)C(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(O)=O,"3.34, 8.2"
Cc1ncc(CO)c(C)c1O,"5.36, 9.34"
Cc1ncc(CO)c(C=O)c1O,"4.1, 8.53"
Cc1ncc(CO)c(CO)c1O,"4.85, 8.81"
C[C@@](CCC(O)=O)(NC(=O)c1ccccc1)C(O)=O,"3.51, 4.63"
O[P](O)(=O)Oc1ccc2ccccc2c1,"1.2, 5.74"
O[P](O)(=O)CBr,"1.2, 6.24"
O[P](O)(=O)CCBr,"1.6, 6.9"
Oc1cccnc1,"4.89, 8.5"
Oc1cnccc1C=O,"4.04, 6.7"
C[C@@H](NC(=O)[C@@H]1CCCN1)C(O)=O,"3.15, 9.09"
CC(C)C[C@H](N)C(=O)NCC(=O)N[C@@H](CC(C)C)C(O)=O,"3.33, 7.75"
CC(C)C[C@H](N)C(=O)NCC(=O)N[C@H](CC(C)C)C(O)=O,"3.32, 7.79"
CC(C)C[C@H](N)C(=O)NCC(O)=O,"3.11, 8.0"
O[P](O)(=O)C(Br)Br,"0.8, 5.4"
O[P](O)(=O)O[P]([O-])(=O)Oc1ccccc1,"1.3, 6.32"
CSCC[C@H](NC(=O)[C@@H](N)Cc1ccccc1)C(O)=O,"3.24, 7.27"
C[C@@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(O)=O,"3.31, 7.83"
NC1=NC(=O)N(C=C1)C2OC(CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)C(O)C2O,"4.47, 6.663333333333334"
NC1=NC(=O)c2ncn(C3OC(CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)C(O)C3O)c2N1,"2.93, 6.63"
NCC(O)C(O)=O,"2.66, 9.13"
NCC(O)CN,"8.02, 9.56"
CSCC[C@H](N)C(=O)NCC(O)=O,"3.16, 7.59"
CSCC[C@H](N)C(=O)N[C@@H](CCSC)C(O)=O,"3.22, 7.41"
CSCC[C@H](N)C(=O)N[C@H](CCSC)C(O)=O,"2.98, 7.59"
CSCC[C@H](NC(=O)CN)C(O)=O,"3.02, 8.12"
COc1ccc(NCC(O)=O)cc1,"2.0, 9.07"
C[C@@H](NC(=O)[C@H](C)NC(=O)CN)C(O)=O,"3.19, 8.06"
C[C@@H](O)[C@H](N)C(O)=O,"2.2, 8.94"
COc1cc(CCN)ccc1O,"9.34, 10.47"
COc1ccc(CCN)cc1O,"9.23, 10.38"
NC(C(O)C(O)C(O)CO)C(O)=O,"2.2, 9.08"
NC(=O)CCN(CC(O)=O)CC(O)=O,"2.41, 8.46"
CSCCN(CC(O)=O)CC(O)=O,"2.0, 8.89"
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(O)=O,"3.16, 8.2"
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(O)=O,"3.31, 7.83"
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(O)=O,"3.28, 7.92"
FC1(F)CNCCNCCCNCCNC1,"7.52, 10.78"
FC1CNCCNCCCNCCNC1,"9.41, 10.96"
CO[P]([O-])(=O)O[P](O)(O)=O,"1.6, 6.37"
COc1cc(CC(O)=O)ccc1O,"4.31, 9.76"
COc1cc(CCC(O)=O)ccc1O,"4.48, 9.87"
NCC(=O)N1CCC[C@H]1C(=O)NCC(=O)NCC(O)=O,"3.11, 8.25"
NC1=NC(=O)c2ncn(C3OC(CO[P](O)(=O)O[P](O)(O)=O)C(O)C3O)c2N1,"2.8, 6.505"
NCC(=O)NCC(=O)NCC(=O)N1CCC[C@H]1C(O)=O,"2.91, 8.04"
NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(O)=O,"3.27, 7.85"
NCC(=O)NCC(=O)NCC(=O)NCC(O)=O,"3.2, 7.88"
CC(C)C[C@H](N)C(O)=O,"2.32, 9.58"
O[C@H](CO[P](O)(O)=O)[C@@H](O)[C@@H](O)C=O,"1.5, 6.17"
CC(C)C[C@H](N)C(=O)NO,"7.14, 9.1"
CC(C)C[C@H](N)C(=O)N[C@@H](C)C(O)=O,"3.36, 8.08"
CC(C)C(C(O)=O)C(O)=O,"2.78, 5.5"
CC(C)CC(C(O)=O)C(O)=O,"2.87, 5.36"
NCCC(=O)NCC(=O)NCC(O)=O,"3.19, 9.25"
O[C@@H]([C@H](O)C(O)=O)C(O)=O,"2.82, 3.9850000000000003"
O[C@@H]([C@H](O)[C@H](O)C(O)=O)[C@@H](O)C(O)=O,"3.17, 3.97"
CC(C)C[C@H](N)C(=O)N[C@@H](Cc1ccccc1)C(O)=O,"3.18, 7.68"
CC(C)C[C@H](N)C(=O)N[C@H](C)C(O)=O,"2.98, 8.17"
CC(C)C[C@H](N)C(=O)N[C@H](CC(C)C)C(=O)NCC(O)=O,"3.33, 7.89"
CC(C)C[C@H](N)C(=O)N[C@H](Cc1ccccc1)C(O)=O,"2.89, 8.15"
O[P](O)(=O)CI,"1.3, 6.44"
OCc1ncccc1O,"4.74, 8.6"
O[P](O)(=O)Oc1cccc2ccccc12,"0.9, 5.795"
O[P](O)(=O)Oc1ccccc1,"0.9, 5.79"
O[C@H](CS)[C@H](O)CS,"9.05, 10.06"
NCCCc1ccncc1,"5.51, 9.98"
NCCN,"7.11, 9.92"
CC(C)C[C@H](N)C(=O)N[C@@H](CC(C)C)C(=O)NCC(O)=O,"3.56, 7.62"
CC(C)C[C@H](N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(O)=O,"3.59, 7.65"
CC(C)C[C@H](NC(=O)[C@@H](N)Cc1ccccc1)C(O)=O,"3.41, 7.3"
CC(C)C[C@H](NC(=O)[C@H](C)N)C(O)=O,"3.34, 8.03"
CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)CN)C(O)=O,"3.52, 8.1"
NCC(=O)NO,"7.45, 9.18"
NCC(=O)N[C@@H](CC(N)=O)C(O)=O,"3.12, 8.12"
NCC(=O)N[C@@H](CO)C(O)=O,"2.97, 8.13"
NCC(=O)NCC(=O)NCC(O)=O,"3.21, 7.89"
NCCC(=O)NCC(O)=O,"3.2, 9.4"
NCC(O)=O,"2.33, 9.57"
NCCCc1cccnc1,"5.19, 10.05"
NCC(=O)NC(CO)C(=O)NCC(O)=O,"3.23, 7.99"
NCC(=O)NCC(=O)N1CCC[C@H]1C(=O)NCC(=O)NCC(=O)NCC(=O)N2CCC[C@H]2C(=O)NCC(O)=O,"3.11, 8.17"
NCC(=O)NCC(=O)N1CCC[C@H]1C(=O)NCC(O)=O,"3.17, 8.06"
NCCCC[C@H](N)C(=O)NCC(O)=O,"7.64, 10.61"
NCC(=O)NCC(=O)NCCC(O)=O,"4.04, 7.89"
NCC(=O)NCC(=O)NO,"7.52, 8.4"
NCC(=O)NCCC(=O)NCC(O)=O,"3.3, 8.05"
NCC(=O)NCC(=O)NCC(=O)NO,"7.51, 8.4"
NCC(=O)N1CCC[C@H]1C(=O)N2CCC[C@H]2C(=O)NCC(=O)NCC(O)=O,"3.28, 8.3"
NCC(=O)N1CCC[C@H]1C(=O)NCC(=O)N2CCC[C@H]2C(=O)NCC(O)=O,"3.31, 8.36"
NCC(=O)N1CCC[C@H]1C(=O)NCC(=O)N2CCC[C@H]2C(=O)N[C@@H](CCC(N)=O)C(O)=O,"3.22, 8.29"
COCCN(CC(O)=O)CC(O)=O,"2.18, 8.95"
COC(=O)[C@@H](N)CS,"6.53, 8.93"
NCCCCCc1ccncc1,"5.99, 10.3"
NCCCCN,"9.46, 10.72"
NCCC(=O)NCCC(O)=O,"3.95, 9.36"
NCCC(=O)NO,"8.32, 9.59"
NCCC(O)=O,"3.51, 10.08"
NCCCCCCCCN,"10.17, 10.99"
NCCCCCCN,"10.07, 10.95"
NCCCCCN,"9.83, 10.9"
O[P](O)(=O)c1ccccc1,"1.7, 7.0"
NCCCC(O)=O,"4.02, 10.35"
NCCNC(=O)CC(=O)NCCN,"8.7, 8.96"
NCCCCCc1ccccn1,"5.7, 10.38"
NCCCCCc1cccnc1,"5.61, 10.34"
CC(N)CCN,"8.68, 10.55"
OC[C@H]1O[C@H](O[P](O)(O)=O)[C@H](O)[C@@H](O)[C@@H]1O,"1.5, 6.025"
OC[P](O)(O)=O,"1.7, 6.99"
OCCN(CCO)c1cc(ccc1C(O)=O)C(O)=O,"3.1, 7.0"
